city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Mount Vernon,Mount Vernon,WA,Washington,53057,Skagit,48.4203,-122.3115,67767,1114,shape,FALSE,TRUE,America/Los_Angeles,3,98274 98273,1840019774
Sammamish,Sammamish,WA,Washington,53033,King,47.6017,-122.0416,65265,1233,shape,FALSE,TRUE,America/Los_Angeles,3,98029 98075 98074,1840021115
South Hill,South Hill,WA,Washington,53053,Pierce,47.1198,-122.2853,64104,1331,shape,FALSE,FALSE,America/Los_Angeles,3,98374 98375 98373,1840037886
Lakewood,Lakewood,WA,Washington,53053,Pierce,47.1628,-122.5299,60564,1370,shape,FALSE,TRUE,America/Los_Angeles,3,98499 98498,1840019860
Richland,Richland,WA,Washington,53005,Benton,46.2824,-119.2939,57353,564,shape,FALSE,TRUE,America/Los_Angeles,3,99352 99354,1840019889
Shoreline,Shoreline,WA,Washington,53033,King,47.7564,-122.3426,56835,1886,shape,FALSE,TRUE,America/Los_Angeles,3,98155 98177 98133,1840021118
Burien,Burien,WA,Washington,53033,King,47.4762,-122.3394,51588,1984,shape,FALSE,TRUE,America/Los_Angeles,3,98146 98148 98168 98166,1840018420
Lacey,Lacey,WA,Washington,53067,Thurston,47.0462,-122.7933,50827,1140,shape,FALSE,TRUE,America/Los_Angeles,3,98516 98503,1840019866
Bothell,Bothell,WA,Washington,53033,King,47.7735,-122.2044,46386,1313,shape,FALSE,TRUE,America/Los_Angeles,3,98021 98011,1840018419
Edmonds,Edmonds,WA,Washington,53061,Snohomish,47.8115,-122.3533,42347,1833,shape,FALSE,TRUE,America/Los_Angeles,3,98026 98020,1840037645
Puyallup,Puyallup,WA,Washington,53053,Pierce,47.1793,-122.2902,41666,1138,shape,FALSE,TRUE,America/Los_Angeles,3,98374 98371 98372 98373,1840019859
Issaquah,Issaquah,WA,Washington,53033,King,47.5439,-122.0471,38707,1232,shape,FALSE,TRUE,America/Los_Angeles,3,98029 98027,1840018422
Lynnwood,Lynnwood,WA,Washington,53061,Snohomish,47.8284,-122.3033,38538,1889,shape,FALSE,TRUE,America/Los_Angeles,3,98037 98036,1840019788
Parkland,Parkland,WA,Washington,53053,Pierce,47.1417,-122.4376,37946,1695,shape,FALSE,FALSE,America/Los_Angeles,3,98444 98445 98447,1840018453
Pullman,Pullman,WA,Washington,53075,Whitman,46.7336,-117.168,33974,1200,shape,FALSE,TRUE,America/Los_Angeles,3,99163,1840019864
Spanaway,Spanaway,WA,Washington,53053,Pierce,47.0979,-122.4233,33776,1491,shape,FALSE,FALSE,America/Los_Angeles,3,98387 98445,1840018451
University Place,University Place,WA,Washington,53053,Pierce,47.2147,-122.5461,33661,1558,shape,FALSE,TRUE,America/Los_Angeles,3,98466 98467,1840021130
Lake Stevens,Lake Stevens,WA,Washington,53061,Snohomish,48.0024,-122.0953,33470,1409,shape,FALSE,TRUE,America/Los_Angeles,3,98258,1840019794
Walla Walla,Walla Walla,WA,Washington,53071,Walla Walla,46.0671,-118.3368,32951,918,shape,FALSE,TRUE,America/Los_Angeles,3,99362,1840021174
Graham,Graham,WA,Washington,53053,Pierce,47.0322,-122.2827,32505,294,shape,FALSE,FALSE,America/Los_Angeles,3,98338,1840017365
Des Moines,Des Moines,WA,Washington,53033,King,47.3914,-122.3156,31983,1925,shape,FALSE,TRUE,America/Los_Angeles,3,98148 98198,1840018426
SeaTac,SeaTac,WA,Washington,53033,King,47.4444,-122.2986,29102,1116,shape,FALSE,TRUE,America/Los_Angeles,3,98158 98148 98198 98168 98188,1840021116
Maple Valley,Maple Valley,WA,Washington,53033,King,47.3659,-122.0368,26739,1719,shape,FALSE,TRUE,America/Los_Angeles,3,98038,1840019828
Orchards,Orchards,WA,Washington,53011,Clark,45.689,-122.5306,26289,1896,shape,FALSE,FALSE,America/Los_Angeles,3,98682,1840018519
Mercer Island,Mercer Island,WA,Washington,53033,King,47.5661,-122.232,25820,1561,shape,FALSE,TRUE,America/Los_Angeles,3,98040,1840019830
Bainbridge Island,Bainbridge Island,WA,Washington,53035,Kitsap,47.6439,-122.5434,24859,347,shape,FALSE,TRUE,America/Los_Angeles,3,98110,1840018409
Mill Creek East,Mill Creek East,WA,Washington,53061,Snohomish,47.8361,-122.1877,24643,2138,shape,FALSE,TRUE,America/Los_Angeles,2,98012,1840041996
North Lynnwood,North Lynnwood,WA,Washington,53061,Snohomish,47.8533,-122.2762,24084,2973,shape,FALSE,FALSE,America/Los_Angeles,2,98087 98037,1840037895
Camas,Camas,WA,Washington,53011,Clark,45.6005,-122.4304,24043,659,shape,FALSE,TRUE,America/Los_Angeles,3,98607,1840018524
Moses Lake,Moses Lake,WA,Washington,53025,Grant,47.1279,-119.2759,23442,504,shape,FALSE,TRUE,America/Los_Angeles,3,98837,1840019817
Tumwater,Tumwater,WA,Washington,53067,Thurston,46.9891,-122.9175,23390,516,shape,FALSE,TRUE,America/Los_Angeles,3,98501 98512,1840021145
Oak Harbor,Oak Harbor,WA,Washington,53029,Island,48.2964,-122.6333,23358,934,shape,FALSE,TRUE,America/Los_Angeles,3,98277,1840019779
Cottage Lake,Cottage Lake,WA,Washington,53033,King,47.7466,-122.0755,23239,394,shape,FALSE,FALSE,America/Los_Angeles,3,98072 98077,1840037848
Union Hill-Novelty Hill,Union Hill-Novelty Hill,WA,Washington,53033,King,47.6788,-122.0284,23114,368,shape,FALSE,TRUE,America/Los_Angeles,3,98053 98077,1840074663
Kenmore,Kenmore,WA,Washington,53033,King,47.7516,-122.2489,22969,1442,shape,FALSE,TRUE,America/Los_Angeles,3,98028,1840018423
Eastmont,Eastmont,WA,Washington,53061,Snohomish,47.8968,-122.1818,22829,1723,shape,FALSE,FALSE,America/Los_Angeles,3,98208,1840139116
Silver Firs,Silver Firs,WA,Washington,53061,Snohomish,47.8635,-122.1497,22564,1270,shape,FALSE,FALSE,America/Los_Angeles,3,98296 98012 98208,1840037898
Frederickson,Frederickson,WA,Washington,53053,Pierce,47.0916,-122.3603,22290,760,shape,FALSE,FALSE,America/Los_Angeles,3,98387 98375 98446,1840037551
Martha Lake,Martha Lake,WA,Washington,53061,Snohomish,47.8479,-122.2327,21987,1864,shape,FALSE,FALSE,America/Los_Angeles,3,98087 98037 98012 98208,1840037875
Silverdale,Silverdale,WA,Washington,53035,Kitsap,47.6663,-122.6828,21858,668,shape,FALSE,FALSE,America/Los_Angeles,3,98311 98383 98370,1840018406
Hazel Dell,Hazel Dell,WA,Washington,53011,Clark,45.6797,-122.6553,21830,1743,shape,FALSE,FALSE,America/Los_Angeles,3,98665,1840037662
Mukilteo,Mukilteo,WA,Washington,53061,Snohomish,47.9096,-122.3035,21414,1321,shape,FALSE,TRUE,America/Los_Angeles,3,98275,1840019793
Mountlake Terrace,Mountlake Terrace,WA,Washington,53061,Snohomish,47.7921,-122.3077,21328,2030,shape,FALSE,TRUE,America/Los_Angeles,2,98043,1840019792
Bonney Lake,Bonney Lake,WA,Washington,53053,Pierce,47.1791,-122.17,21247,998,shape,FALSE,TRUE,America/Los_Angeles,3,98391,1840018454
Covington,Covington,WA,Washington,53033,King,47.3667,-122.1045,21131,1375,shape,FALSE,TRUE,America/Los_Angeles,3,98042,1840018425
Battle Ground,Battle Ground,WA,Washington,53011,Clark,45.7766,-122.5413,20931,945,shape,FALSE,TRUE,America/Los_Angeles,3,98604,1840018523
Mill Creek,Mill Creek,WA,Washington,53061,Snohomish,47.8631,-122.2037,20750,1725,shape,FALSE,TRUE,America/Los_Angeles,3,98012,1840019790
Ellensburg,Ellensburg,WA,Washington,53037,Kittitas,46.9999,-120.5475,20679,1036,shape,FALSE,TRUE,America/Los_Angeles,3,98926,1840019841
Tukwila,Tukwila,WA,Washington,53033,King,47.475,-122.2728,20265,851,shape,FALSE,TRUE,America/Los_Angeles,3,98108 98178 98168 98188,1840021120
Port Angeles,Port Angeles,WA,Washington,53009,Clallam,48.1141,-123.4565,20071,723,shape,FALSE,TRUE,America/Los_Angeles,3,98363 98362,1840019782
Arlington,Arlington,WA,Washington,53061,Snohomish,48.1701,-122.1442,19947,784,shape,FALSE,TRUE,America/Los_Angeles,3,98223,1840018378
Bothell West,Bothell West,WA,Washington,53061,Snohomish,47.8056,-122.2401,19899,1852,shape,FALSE,TRUE,America/Los_Angeles,3,98021 98036 98012,1840041906
Salmon Creek,Salmon Creek,WA,Washington,53011,Clark,45.7099,-122.6632,19506,1186,shape,FALSE,FALSE,America/Los_Angeles,3,98686 98685,1840018520
Five Corners,Five Corners,WA,Washington,53011,Clark,45.6883,-122.5738,19415,1287,shape,FALSE,FALSE,America/Los_Angeles,3,98662,1840037869
Monroe,Monroe,WA,Washington,53061,Snohomish,47.8595,-121.9851,19403,1228,shape,FALSE,TRUE,America/Los_Angeles,3,98272,1840019791
Fairwood,Fairwood,WA,Washington,53033,King,47.4467,-122.143,19400,1579,shape,FALSE,FALSE,America/Los_Angeles,3,98058,1840037517
Bryn Mawr-Skyway,Bryn Mawr-Skyway,WA,Washington,53033,King,47.4949,-122.241,17643,2386,shape,FALSE,TRUE,America/Los_Angeles,2,98178,1840037012
Centralia,Centralia,WA,Washington,53041,Lewis,46.7223,-122.9696,17473,885,shape,FALSE,TRUE,America/Los_Angeles,3,98531,1840018471
Anacortes,Anacortes,WA,Washington,53057,Skagit,48.4878,-122.6292,17231,568,shape,FALSE,TRUE,America/Los_Angeles,3,98221,1840018366
Camano,Camano,WA,Washington,53029,Island,48.1865,-122.4708,17073,165,shape,FALSE,FALSE,America/Los_Angeles,3,98282,1840037492
Sunnyside,Sunnyside,WA,Washington,53077,Yakima,46.3157,-120.0058,16703,857,shape,FALSE,TRUE,America/Los_Angeles,3,98944,1840021150
Aberdeen,Aberdeen,WA,Washington,53027,Grays Harbor,46.9757,-123.8094,16571,588,shape,FALSE,TRUE,America/Los_Angeles,3,98520,1840018446
White Center,White Center,WA,Washington,53033,King,47.5086,-122.3479,15995,2718,shape,FALSE,FALSE,America/Los_Angeles,2,98106 98146 98168,1840037727
Washougal,Washougal,WA,Washington,53011,Clark,45.5825,-122.3451,15927,1033,shape,FALSE,TRUE,America/Los_Angeles,3,98671,1840021190
Elk Plain,Elk Plain,WA,Washington,53053,Pierce,47.0425,-122.3663,15192,699,shape,FALSE,FALSE,America/Los_Angeles,3,98387 98338,1840037546
West Richland,West Richland,WA,Washington,53005,Benton,46.3115,-119.3999,14842,259,shape,FALSE,TRUE,America/Los_Angeles,3,99320 99353,1840021168
Lynden,Lynden,WA,Washington,53073,Whatcom,48.9502,-122.4545,14700,1044,shape,FALSE,TRUE,America/Los_Angeles,3,98264,1840019752
Ferndale,Ferndale,WA,Washington,53073,Whatcom,48.8526,-122.5894,14591,801,shape,FALSE,TRUE,America/Los_Angeles,3,98248,1840019751
Lake Stickney,Lake Stickney,WA,Washington,53061,Snohomish,47.8733,-122.2582,14306,2777,shape,FALSE,FALSE,America/Los_Angeles,2,98087 98204,1840037894
Port Orchard,Port Orchard,WA,Washington,53035,Kitsap,47.5163,-122.661,14303,572,shape,FALSE,TRUE,America/Los_Angeles,3,98366 98367,1840019821
Lakeland North,Lakeland North,WA,Washington,53033,King,47.3374,-122.2812,14042,1670,shape,FALSE,TRUE,America/Los_Angeles,3,98001,1840074254
Artondale,Artondale,WA,Washington,53053,Pierce,47.3021,-122.6406,14024,404,shape,FALSE,FALSE,America/Los_Angeles,3,98335,1840037617
East Wenatchee,East Wenatchee,WA,Washington,53017,Douglas,47.4174,-120.2822,14012,1427,shape,FALSE,TRUE,America/Los_Angeles,3,98802,1840019795
Snoqualmie,Snoqualmie,WA,Washington,53033,King,47.5293,-121.8412,13550,728,shape,FALSE,TRUE,America/Los_Angeles,3,98065,1840021119
Lake Forest Park,Lake Forest Park,WA,Washington,53033,King,47.7574,-122.2864,13455,1477,shape,FALSE,TRUE,America/Los_Angeles,3,98155,1840019837
Bothell East,Bothell East,WA,Washington,53061,Snohomish,47.8064,-122.1844,13164,2424,shape,FALSE,TRUE,America/Los_Angeles,2,98021 98012,1840041892
Fort Lewis,Fort Lewis,WA,Washington,53053,Pierce,47.0955,-122.5674,13045,489,shape,TRUE,TRUE,America/Los_Angeles,3,98433,1840073933
Woodinville,Woodinville,WA,Washington,53033,King,47.757,-122.1477,13038,896,shape,FALSE,TRUE,America/Los_Angeles,3,98072,1840021121
East Renton Highlands,East Renton Highlands,WA,Washington,53033,King,47.4718,-122.0854,12576,436,shape,FALSE,FALSE,America/Los_Angeles,3,98027 98059 98038,1840037866
Lakeland South,Lakeland South,WA,Washington,53033,King,47.2786,-122.2826,12467,982,shape,FALSE,TRUE,America/Los_Angeles,3,98001 98003,1840074270
Cheney,Cheney,WA,Washington,53063,Spokane,47.4901,-117.579,12455,1107,shape,FALSE,TRUE,America/Los_Angeles,3,99004,1840018398
Kelso,Kelso,WA,Washington,53015,Cowlitz,46.1236,-122.8909,12237,580,shape,FALSE,TRUE,America/Los_Angeles,3,98626 98632,1840018503
Lake Tapps,Lake Tapps,WA,Washington,53053,Pierce,47.2307,-122.1695,12129,382,shape,FALSE,TRUE,America/Los_Angeles,3,98391,1840041971
Newcastle,Newcastle,WA,Washington,53033,King,47.5304,-122.1633,12078,1048,shape,FALSE,TRUE,America/Los_Angeles,3,98059 98056,1840019831
Enumclaw,Enumclaw,WA,Washington,53033,King,47.2018,-121.9897,12062,900,shape,FALSE,TRUE,America/Los_Angeles,3,98022,1840019825
Edgewood,Edgewood,WA,Washington,53053,Pierce,47.2309,-122.2832,12010,553,shape,FALSE,TRUE,America/Los_Angeles,3,98371 98372,1840019852
Prairie Ridge,Prairie Ridge,WA,Washington,53053,Pierce,47.1438,-122.1408,11980,1096,shape,FALSE,FALSE,America/Los_Angeles,3,98391 98385,1840037882
Sedro-Woolley,Sedro-Woolley,WA,Washington,53057,Skagit,48.5112,-122.2321,11919,1068,shape,FALSE,TRUE,America/Los_Angeles,3,98284,1840021066
Maltby,Maltby,WA,Washington,53061,Snohomish,47.8027,-122.1044,11845,236,shape,FALSE,FALSE,America/Los_Angeles,3,98021 98296 98072 98077,1840017326
Minnehaha,Minnehaha,WA,Washington,53011,Clark,45.6577,-122.6204,11387,1989,shape,FALSE,FALSE,America/Los_Angeles,3,98661,1840018518
Lake Morton-Berrydale,Lake Morton-Berrydale,WA,Washington,53033,King,47.3325,-122.1032,11118,348,shape,FALSE,TRUE,America/Los_Angeles,3,98092 98042,1840074253
Grandview,Grandview,WA,Washington,53077,Yakima,46.2443,-119.9092,11075,664,shape,FALSE,TRUE,America/Los_Angeles,3,98935 98930,1840019871
Poulsbo,Poulsbo,WA,Washington,53035,Kitsap,47.7417,-122.6407,10869,885,shape,FALSE,TRUE,America/Los_Angeles,3,98370,1840019822
Shelton,Shelton,WA,Washington,53045,Mason,47.2186,-123.1121,10467,694,shape,FALSE,TRUE,America/Los_Angeles,3,98584,1840021123
Vashon,Vashon,WA,Washington,53033,King,47.4122,-122.4726,10400,108,shape,FALSE,FALSE,America/Los_Angeles,3,98070,1840018414
Liberty Lake,Liberty Lake,WA,Washington,53063,Spokane,47.6686,-117.1036,10381,641,shape,FALSE,TRUE,America/Los_Angeles,3,99019 99016,1840037678
Fife,Fife,WA,Washington,53053,Pierce,47.2329,-122.3518,10345,693,shape,FALSE,TRUE,America/Los_Angeles,3,98424,1840019853
Gig Harbor,Gig Harbor,WA,Washington,53053,Pierce,47.3352,-122.5964,10280,672,shape,FALSE,TRUE,America/Los_Angeles,3,98332 98335,1840019855
Sumner,Sumner,WA,Washington,53053,Pierce,47.2189,-122.2338,10246,525,shape,FALSE,TRUE,America/Los_Angeles,3,98390,1840021128
Snohomish,Snohomish,WA,Washington,53061,Snohomish,47.9276,-122.0969,10141,1111,shape,FALSE,TRUE,America/Los_Angeles,3,98290,1840021078
Birch Bay,Birch Bay,WA,Washington,53073,Whatcom,48.9243,-122.7519,9917,223,shape,FALSE,FALSE,America/Los_Angeles,3,98230,1840017289
Felida,Felida,WA,Washington,53011,Clark,45.7138,-122.7103,9842,1307,shape,FALSE,FALSE,America/Los_Angeles,3,98685,1840037495
Mount Vista,Mount Vista,WA,Washington,53011,Clark,45.7373,-122.6316,9762,720,shape,FALSE,FALSE,America/Los_Angeles,3,98642 98686,1840037858
Port Townsend,Port Townsend,WA,Washington,53031,Jefferson,48.122,-122.7877,9710,540,shape,FALSE,TRUE,America/Los_Angeles,3,98368,1840019797
Alderwood Manor,Alderwood Manor,WA,Washington,53061,Snohomish,47.8146,-122.2672,9618,1936,shape,FALSE,FALSE,America/Los_Angeles,3,98036,1840017323
Picnic Point,Picnic Point,WA,Washington,53061,Snohomish,47.8744,-122.3077,9607,1219,shape,FALSE,FALSE,America/Los_Angeles,3,98026 98087,1840037897
Midland,Midland,WA,Washington,53053,Pierce,47.1734,-122.412,9518,1209,shape,FALSE,FALSE,America/Los_Angeles,3,98404 98445,1840018452
DuPont,DuPont,WA,Washington,53053,Pierce,47.1079,-122.6495,9514,631,shape,FALSE,TRUE,America/Los_Angeles,3,98327,1840018457
College Place,College Place,WA,Washington,53071,Walla Walla,46.0419,-118.3878,9311,1199,shape,FALSE,TRUE,America/Los_Angeles,3,99324 99362,1840018490
Yelm,Yelm,WA,Washington,53067,Thurston,46.9398,-122.6262,9262,626,shape,FALSE,TRUE,America/Los_Angeles,3,98576 98597,1840021146
Burlington,Burlington,WA,Washington,53057,Skagit,48.4676,-122.3298,9085,819,shape,FALSE,TRUE,America/Los_Angeles,3,98233,1840018367
Summit View,Summit View,WA,Washington,53053,Pierce,47.1343,-122.3467,9078,1083,shape,FALSE,TRUE,America/Los_Angeles,3,98375 98373,1840042106
Summit,Summit,WA,Washington,53053,Pierce,47.1694,-122.3628,8993,682,shape,FALSE,FALSE,America/Los_Angeles,3,98371 98373 98446,1840018456
Terrace Heights,Terrace Heights,WA,Washington,53077,Yakima,46.6045,-120.4393,8917,327,shape,FALSE,FALSE,America/Los_Angeles,3,98901,1840018465
Airway Heights,Airway Heights,WA,Washington,53063,Spokane,47.6459,-117.5792,8885,570,shape,FALSE,TRUE,America/Los_Angeles,3,99224 99001,1840018399
Toppenish,Toppenish,WA,Washington,53077,Yakima,46.3806,-120.3122,8872,1604,shape,FALSE,TRUE,America/Los_Angeles,3,98948,1840021151
Ridgefield,Ridgefield,WA,Washington,53011,Clark,45.8114,-122.7051,8751,460,shape,FALSE,TRUE,America/Los_Angeles,3,98642,1840019909
Hoquiam,Hoquiam,WA,Washington,53027,Grays Harbor,46.9863,-123.9022,8570,346,shape,FALSE,TRUE,America/Los_Angeles,3,98550,1840019845
Orting,Orting,WA,Washington,53053,Pierce,47.0967,-122.2112,8267,1179,shape,FALSE,TRUE,America/Los_Angeles,3,98360,1840019858
Othello,Othello,WA,Washington,53001,Adams,46.8221,-119.1653,8241,795,shape,FALSE,TRUE,America/Los_Angeles,3,99344,1840019862
Milton,Milton,WA,Washington,53053,Pierce,47.2524,-122.3153,8211,1140,shape,FALSE,TRUE,America/Los_Angeles,3,98354,1840019857
Ephrata,Ephrata,WA,Washington,53025,Grant,47.3122,-119.5341,8081,298,shape,FALSE,TRUE,America/Los_Angeles,3,98823,1840019813
Duvall,Duvall,WA,Washington,53033,King,47.7354,-121.9726,7979,1257,shape,FALSE,TRUE,America/Los_Angeles,3,98019,1840018427
Selah,Selah,WA,Washington,53077,Yakima,46.6481,-120.539,7957,670,shape,FALSE,TRUE,America/Los_Angeles,3,98942,1840021149
Quincy,Quincy,WA,Washington,53025,Grant,47.2344,-119.853,7815,498,shape,FALSE,TRUE,America/Los_Angeles,3,98848,1840019818
Waller,Waller,WA,Washington,53053,Pierce,47.2035,-122.37,7672,372,shape,FALSE,FALSE,America/Los_Angeles,3,98371 98443,1840037889
Chehalis,Chehalis,WA,Washington,53041,Lewis,46.6638,-122.965,7607,505,shape,FALSE,TRUE,America/Los_Angeles,3,98532,1840018472
Lake Shore,Lake Shore,WA,Washington,53011,Clark,45.6911,-122.6911,7581,1790,shape,FALSE,FALSE,America/Los_Angeles,3,98665 98685,1840037873
Sequim,Sequim,WA,Washington,53009,Clallam,48.0746,-123.0945,7441,454,shape,FALSE,TRUE,America/Los_Angeles,3,98382,1840021076
Clarkston,Clarkston,WA,Washington,53003,Asotin,46.4161,-117.0505,7435,1396,shape,FALSE,TRUE,America/Los_Angeles,3,99403,1840018499
Sudden Valley,Sudden Valley,WA,Washington,53073,Whatcom,48.7236,-122.3442,7407,668,shape,FALSE,FALSE,America/Los_Angeles,3,98229,1840037740
Barberton,Barberton,WA,Washington,53011,Clark,45.7136,-122.6115,7317,651,shape,FALSE,FALSE,America/Los_Angeles,3,98662 98686,1840017397
Stanwood,Stanwood,WA,Washington,53061,Snohomish,48.2449,-122.3426,7228,952,shape,FALSE,TRUE,America/Los_Angeles,3,98292,1840021079
Wollochet,Wollochet,WA,Washington,53053,Pierce,47.2828,-122.5768,7193,476,shape,FALSE,FALSE,America/Los_Angeles,3,98335,1840023843
North Bend,North Bend,WA,Washington,53033,King,47.49,-121.7741,7161,635,shape,FALSE,TRUE,America/Los_Angeles,3,98045,1840019833
Pacific,Pacific,WA,Washington,53033,King,47.261,-122.2507,7122,1136,shape,FALSE,TRUE,America/Los_Angeles,3,98001 98047,1840019834
Clarkston Heights-Vineland,Clarkston Heights-Vineland,WA,Washington,53003,Asotin,46.377,-117.092,7062,236,shape,FALSE,TRUE,America/Los_Angeles,3,99403,1840073891
Tanglewilde,Tanglewilde,WA,Washington,53067,Thurston,47.0512,-122.7809,7033,1869,shape,FALSE,FALSE,America/Los_Angeles,3,98516 98503,1840037899
Hobart,Hobart,WA,Washington,53033,King,47.412,-121.996,7031,144,shape,FALSE,FALSE,America/Los_Angeles,3,98038,1840017344
Mead,Mead,WA,Washington,53063,Spokane,47.7795,-117.35,6995,371,shape,FALSE,FALSE,America/Los_Angeles,3,99021,1840023786
Brier,Brier,WA,Washington,53061,Snohomish,47.7924,-122.2734,6899,1212,shape,FALSE,TRUE,America/Los_Angeles,3,98036,1840018379
Clover Creek,Clover Creek,WA,Washington,53053,Pierce,47.1404,-122.3827,6893,411,shape,FALSE,TRUE,America/Los_Angeles,3,98445 98446,1840041920
Fircrest,Fircrest,WA,Washington,53053,Pierce,47.2307,-122.5157,6844,1668,shape,FALSE,TRUE,America/Los_Angeles,3,98466,1840019854
Bangor Base,Bangor Base,WA,Washington,53035,Kitsap,47.7226,-122.7144,6825,237,shape,TRUE,TRUE,America/Los_Angeles,3,98315,1840036750
Parkwood,Parkwood,WA,Washington,53035,Kitsap,47.5266,-122.5986,6758,999,shape,FALSE,FALSE,America/Los_Angeles,3,98366,1840037518
Normandy Park,Normandy Park,WA,Washington,53033,King,47.4342,-122.3436,6643,1031,shape,FALSE,TRUE,America/Los_Angeles,3,98166,1840019832
North Fort Lewis,North Fort Lewis,WA,Washington,53053,Pierce,47.1222,-122.5962,6402,419,shape,TRUE,TRUE,America/Los_Angeles,3,98433,1840042007
Steilacoom,Steilacoom,WA,Washington,53053,Pierce,47.1703,-122.5933,6366,1222,shape,FALSE,TRUE,America/Los_Angeles,3,98388,1840022309
Prosser,Prosser,WA,Washington,53005,Benton,46.2068,-119.7663,6288,521,shape,FALSE,TRUE,America/Los_Angeles,3,99350,1840019890
Woodland,Woodland,WA,Washington,53015,Cowlitz,45.9145,-122.7505,6223,584,shape,FALSE,TRUE,America/Los_Angeles,3,98674,1840021181
Ocean Shores,Ocean Shores,WA,Washington,53027,Grays Harbor,46.9684,-124.152,6196,280,shape,FALSE,TRUE,America/Los_Angeles,3,98569,1840019849
Union Gap,Union Gap,WA,Washington,53077,Yakima,46.5566,-120.4979,6167,426,shape,FALSE,TRUE,America/Los_Angeles,3,98903,1840021152
